rank,label,url,reel_id,duration_s,hook_first_3s,outro_last_3s,full_transcript,cut_count,cuts_per_second,opening_shot,opening_text,opening_setting,opening_appearance,mid_shot,mid_text,closing_shot,closing_text,broll_frames_count,energy_opening,energy_closing
1,Tom Cruise,https://www.instagram.com/reel/DKAP1_DS4fA/,DKAP1_DS4fA,93.8,What industry did you decide to pursue a career? Movies which encompasses almost every industry.,"Thank you so much for your time. It's a pleasure, James. My pleasure.","What industry did you decide to pursue a career? Movies which encompasses almost every industry. I'm here with Tom Cruise. It's nice to see you. You've been a top actor for decades. What's been the biggest driving factor of your success throughout your career? It is my desire to deliver the very best that I've always felt for myself. Even when I was a little kid before movies, when I had any job I always wanted to understand how to do that job and then do it at the very highest level that I possibly can. Where did you work at that come from? I enjoy going for that level of perfection and I surround myself with people that have that same care. My goal was always to make a movie and have it be the best possible film for an audience and then it makes some money so that studio could have that money and then go make other movies and I can go off and make other movies and that's my desire. I knew very early on that in a changing world the most important thing is one's own ability to change, to adapt, to learn. And your last message to the younger generation? You go. Well, I'm someone when I hear it can't be done. I'm like, I don't know, maybe, you know, how many times do you think that people aren't like, oh you could do this. So this is you hanging off a plane right? Oh yeah, it is. Do you not fear anything? No, it's not a matter. I don't mind being afraid. I want an adventurous life. I want it. And don't be so afraid to be afraid or nervous. The important thing is to keep pursuing your dreams and finding accurate things that are going to add to your life and to others. You know, the way that I look at life, I don't live it for myself. I know that to live my life, I'm thinking of others. And to lead is to serve. Not to tell people what to do, but to help them to be better. That's kind of what I do. You've got amazing advice. Thank you so much for your time. It's a pleasure, James. My pleasure.",24,0.26,medium close-up,almost every industry.,indoor studio or plain wall,"Man with shoulder-length dark brown hair wearing a dark navy button-up shirt, holding a small dark object in his right hand.",close-up,I'm someone when I hear...,close-up,That's kind of what I do...,0,high,medium
2,Shaq,https://www.instagram.com/reel/DDfTYTnTreC/,DDfTYTnTreC,89.7,Who am I here with today? My name is Dr. Shaquille O'Neal. What industry did you decide to pursue a career in?,I really appreciate you. He's a lot. I gotta come over here. Thank you.,"Who am I here with today? My name is Dr. Shaquille O'Neal. What industry did you decide to pursue a career in? A lot of them. What were you doing prior to becoming a business mogul? What was I doing, Brian? Yeah. I was killing your favorite NBA player. Let me ask you this. You became one of the greatest athletes of all time. What was the biggest driving factor of success for you throughout your career? I was a thief. Let me explain. If you see somebody that's doing better than you, steal what they're doing. So for me, I stole Michael Jordan. I stole Karima Dujebaugh. I stole Mahal Manali. And I put it inside my brain and I created me. Shaquille O'Neal. And you generated and made hundreds of millions of dollars throughout your career. There's a stat sports illustrator just did that. One in three NFL players go broke within three to five years. What's the best way to preserve that kind of wealth? I think for those who are not financial literate, learn this word, annuity. You own 155 guys at one point. I sold them. You sold them? Yeah, I sold them. What's your secret to scaling in the franchise model? Just businesses in general. The secret to scaling is one word, delegation. I can't be in 155 places every month, but I know somebody that can. So you're really good at bringing other people in to run these businesses. Yes, I am. And among yourself and the most highly successful people that you study and know, what is that one trait they all have in common? They keep it very simple. Like Jeff Bezos said, you invest in things that's going to change people's lives. I heard him say that and I changed my home investment strategy and I've been very interested. What's the number one thing that you look for people when you're investing in a business? I like to believe in what they believe in. Like for example, if you was going to start this company and you came in with those beautiful eyes and you told me you're passionate, I would definitely invest in you. I'm a big fan of yours. You're an amazing advice, my friend. I really appreciate you. He's a lot. I gotta come over here. Thank you.",36,0.4,medium close-up,to pursue a career in?,Urban street or exterior building,"Tall bald Black male with facial hair wearing a light gray hoodie with drawstrings, engaged expression",medium close-up,I can't be in 155 places,medium close-up,Because I'm a big fan of yours.,0,medium,medium
3,Tom Brady,https://www.instagram.com/reel/DM8O-IMghW8/,DM8O-IMghW8,132.0,Who am I here with today? Tom Brady. The GOAT. The Greatest of All Time.,I appreciate you. That was amazing. Seriously. Thanks man.,"Who am I here with today? Tom Brady. The GOAT. The Greatest of All Time. Appreciate it. So I want to challenge you. Take me to the most life-changing conversation you ever had. What is the greatest piece of advice you ever received throughout your career? When I was a sophomore in college, I had a sports psychologist mentor in mind. And I would go and bitch and complain to him all the time that I wasn't getting the same opportunities that other guys were. And he sat me down in his office one Tuesday afternoon and he said, Why don't you quit bitching about all the things you're not getting and worry about the things you are getting? And don't worry about anybody else. So many times we focus on what everyone else gets and we lose track of what we're getting and the opportunities we're getting. And if they give you three opportunities and a practice to go out there and do your best, then do it. Take accountability. Nobody's coming to save you. Accountability is a word that I think we need to ingrain in all of us all the time. I always tell everybody, you have to get outside of your comfort zone. To comfort zones where dreams go to die. You're 100% right. Well said. Did you have anybody that doubted you? Yeah, about 32 teams for the first six rounds of the NFL draft. But you didn't listen to them. You know what? I think you have to listen to what's inside of you. Take me back to Super Bowl 51. You were down. My favorite games. You were down 28-3 at halftime. The biggest deficit in Super Bowl history. Yeah. It came back in one. What were you telling yourself? What was that self-talk? Go fight your ass off. We're down 21-3 and Coach Belichick said to us, 21 points won't be enough to beat us today. We show what we're all about and we didn't stop fighting. Don't quit. If you quit, you're a loser for life. One of my favorite videos I've ever seen of you is when you were asked who your hero is. Who is your hero? I said then, I'll say now my dad's my hero. I am who I am because of my dad. You have a couple sons. Yeah. Give me a lesson that your dad taught you that you were going to instill in your kids one day. You know, my dad was a rock. And he had the most belief in me of anyone. And that's what I really want to pass on to my kids. I believe in them. Whatever they set their mind to, they're going to accomplish. Tom, if me and you died tomorrow and you had one more guiding principle to lead with the younger generation, what would that be? Be proud of the person you look back in the mirror every single day because that's the person you got to satisfy. And the life you lead is the lesson you teach. So when you wake up every day and the choices that you make, you don't have to say anything. If you want to live a life of integrity, be that. If you want to live a life of resilience, be that. If you want to live a life of caring and joy, be that. That's what you can bring to the world. You got an amazing advice, Tom. Great to meet you. I appreciate you. That was amazing. Seriously. Thanks man.",55,0.42,medium close-up,you ever had...,Hardware or home improvement store,"Young man with dark undercut hairstyle wearing white quarter-zip athletic jacket, holding what appears to be interview microphone.",medium close-up,If you quit...,medium close-up,of caring and joy...,0,medium,medium
4,Logan Paul,https://www.instagram.com/reel/DXXHpDdAtac/,DXXHpDdAtac,126.5,Excuse me sir. Sir question for you man. How old were you when you became a millionaire?,,"Excuse me sir. Sir question for you man. How old were you when you became a millionaire? Come here. I'm so proud of you. Thanks my man. What was your question? How old were you when you became a millionaire there? A millionaire? Yes sir. I was 21. And how did you get rich man? The people that don't know how did you make your million? Same thing you're doing right now brother. I was hustling I was making content. Let's talk about this so a lot of content creators are broke because they don't understand the business side of media. Talk to that young person out there. You built the billion dollar company. Yeah but James, but James that wasn't the goal bro. To be honest with you I just kind of ended up here. It feels like I clicked my heels together three times got a bit lucky. I love making content. I could tell you love making content. I've been following your page for years bro. That's what I'm saying. I'm proud of you. I'm proud of you. And I have a better offer than Jesse Itzler bro. 20 percent. 20 percent of your company bro. 25 mil. 25 mil bro. I guess I noted that bro. We may have to make that happen right? Got him. So maybe ask you this still. Yes sir. You don't get enough credit. You and your brother I would argue are two of the greatest marketers of all time. Thank you. What is your secret to marketing to anybody getting into business? So check this out bro. Attention's a currency. How you wield that attention. That's the art. I always say this. The opposite of hate is not love. It's indifference. What you cannot do is make people feel nothing. You got to make people feel. Now whether that's good or bad honestly doesn't really matter. People are fickle. They'll love you one second and then they'll hate you the next. But you never let it get to you. You made money regardless of what people thought about you. Brother I came to the very healthy realization that no stranger is going to tell me who I am. How long were you making content before you really started to take off and make money? That's the question bro. I started making videos at 9 years old. I'm getting goosebumps even just saying it's like we have put in the work. With content if you have this skill and you know how to captivate people with media this is the superpower right here. And how do you today? I'm 31. Do you believe in God? I do believe in God. Yeah I do. How did you know God was real? Two reasons. When I disrespected God I felt the wrath of God. And then when I respected God and accepted him and opened my heart and my life's been it's 180. 31 years old today. If me and you died tomorrow and you had one more message to leave with the younger generation what would that be? Do more. Life's not short you just gotta do more. I have a belt right here. I'm a tag team champion of the world actually. Fun fact. I'm a professional wrestler and I truly believe I was born to wrestle. It took me 27 years to find that talent. Try stuff and do more. You have amazing advice my friend. Yeah try it bro. Keep it up James. So good to see you bro. 20 percent.",91,0.72,medium close-up,I'm so proud of you.,Inside vehicle or tent,"Man on left has reddish-blonde curly hair, sunglasses, shirtless; man on right has dark hair, black shirt, smiling",medium close-up,I came to the very healthy realization,medium close-up,to find that talent...,0,high,high
5,Jesse Itzler,https://www.instagram.com/reel/DXKR-pEjq5u/,DXKR-pEjq5u,126.1,"Excuse me, sir. Sir. How did you get rich?","I want your contact. You're the best Rolodex in America, man.","Excuse me, sir. Sir. How did you get rich? I sold a couple of companies. How many did? How did you get rich? I sold four companies. One to Warren Buffett, one to Coca-Cola. How much money did you make? Like what was the most amount of money you made in a single year? A lot of money. Come on, man. It's hard to keep that private. Can I interview you for a minute? Sure. I go all over the world and interview you. I know who you are, man. Come on. You sold a company to Warren Buffett. What did you learn from doing business with Warren Buffett? You get rich slowly. Slowly. And it took me a long time. How old are you? 23. You will make 20 times more money in your 40s than you're making now. How much money are you making now? You asked everybody how much money they make. How much money are you making, James? What's the biggest year you've had? So my business is going to make well over $10 million this year. At 23? 23. I promise you. Can I invest in you now? I don't know if I need to talk to you. Wait, you guys are making $10 million a year now? Over $10 million. Is it safe to say that your company is probably worth $80 to $100 million now? You want to sell 10% of it? We could set up a call after this. No, no, no. No, let's do it right now. I'll give you my content. The short tent is shit right now. I'll give you my content. So what is the number one thing that you look for? No, let's go back to that, James. I'll give you a check for $10 million. Today, you talk to your partners. You guys give me 10%. Think about it. So you were just willing to give me a $10 million check. What is the number one thing that you look for in people when you're deciding to invest into them? Hunger. I see you out there hustling. The way you approached me. You are the business plan. Well, you don't invest in business. You invest in people. 100%. Do you think everybody's built for entrepreneurship? No. Why not? What percentage of the population do you think is really cut out for entrepreneurs? Small. It's lonely being an entrepreneur. It's lonely. The pressure is real, and you have to be able to deal with that. Everybody's not wired like that. If me and you died tomorrow and you had one more message to leave with the younger generation, what would that be? At the end of the day, we only have one job, and that's stay healthy. I just saw a young billionaire die the other day at 43 years old. No. That billion dollars couldn't be cancer. If you have a billion dollars and you have a sore throat, every time you swallow, the only thing you think about is your sore throat. There's an old saying, if you have health, you have hope, if you have hope, you have everything. Stay healthy. You have amazing advice, sir. Thank you so much for your conversation. Keep doing what you're doing. 10%. Can I get your contact? 100%. I want your contact. You're the best Rolodex in America, man.",86,0.68,medium close-up,SCHOOL OF HARD KNOCKS,"Urban street, brick wall backdrop","Middle-aged man wearing navy blue headband, black hoodie with red triangle logo and '29025' text, gray pants, holding a bike",medium close-up,Hunger,medium close-up,Thank you...,0,high,high
6,Business Woman,https://www.instagram.com/reel/DXPZa-9Atg4/,DXPZa-9Atg4,110.9,"Excuse me, ma'am. Ma'am, question for you. How did you get rich?","You have amazing advice. Well, thank you. Could I get your contact? Of course.","Excuse me, ma'am. Ma'am, question for you. How did you get rich? Well, who's a good rich? You look like money, ma'am. How did you get rich? I got rich being a business owner. So, real quick. I have 21 million followers. I only have a few billionaires on how they made it for the younger generation. How long were you a business owner? Over 20 years. Over these 20 years, what was the most amount money you made in a single year? Five million dollars. Could we get one minute with you for the channel? It'll be worth it. I promise you. Just one minute. It's to help the younger generation. It'll be worth it. Come on. Did you hear people that thought you were crazy going into business for yourself? Yes. See, some people are going to kill your dream because they don't see it for themselves. But my model is never take advice from someone that you wouldn't exchange a bank account with. You were your biggest investment. What's the greatest piece of advice that you received throughout your career? When you marry wrong, it's going to cost you a lot of money. So, you got divorce. I'm currently going through a divorce. Yes, you're for. What's the number one lesson you've learned from this divorce that you give to somebody? Number one, have a prenuptial agreement just to make sure if you guys leave, we don't have to do all this divvying up of assets. Number two, you can marry your number one enemy. You can marry someone that just hates the light that you have. But when you marry wrong, it's going to cost you at the end. Did you go to college? Yes. I'm a lawyer. You're a lawyer. Yes. What's the lesson about business? You teach them that is not taught in school. Run your business like it's Walmart. Meaning from the very beginning, you set your business up like it's Walmart. I don't care what the bank account says. Walmart don't accept cash app. You shouldn't. What's your name? Joy. Joy, this is gay right here. This is a straight game right here. How are you today? I am knocking on 50. What's the secret to looking so young at 50? I believe as a woman, you need to always look your best. You cannot sell a dream looking like a nightmare. Say that again. You cannot sell a dream looking like a nightmare. But if me and you got tomorrow and you had one more message to me with the younger generation, what would that be? God is the key ingredient. Who is your God? Jesus. You're a Christian. Correct. Yes, I am. I'm not afraid to say that either. I am not. Why not? Because God has delivered me from my darkest time. When God closes a door, he's opening up a bigger blessing down the hall. It's not how you start, it's how you finish. You have amazing advice. Well, thank you. Could I get your contact? Of course.",75,0.68,medium close-up,How did you get rich?,Outdoor shopping center or street,Man with dark hair wearing a white hoodie with visible branding on the back.,medium close-up,Meaning from the very beginning,medium close-up,blessing down the hall.,0,medium,high
7,Falcons GM,https://www.instagram.com/reel/DW6zHPpjmf1/,DW6zHPpjmf1,113.5,How did you get rich? Have you ever heard of Home Depot? Yes. You've ever been in a Home Depot?,Could I get your contact? Yeah.,"How did you get rich? Have you ever heard of Home Depot? Yes. You've ever been in a Home Depot? Yes. That's how I got rich. What do you mean? That was my company. You were the founder of Home Depot? I was. How much is your company worth today? Probably 350 billion dollars. With a B? With a B. How old are you now? I'm 83 years old. At what age did you become a billionaire? That's a good question. I don't know. And you know what? It's good that I don't know. Because it was never about money to me. It was always about building values. The billionaire was only a byproduct of that. It was exactly right. Did you come from a lot of money growing up? No, I came from nothing. My dad was a pharmacist. He passed away at an early age. You didn't come from tremendous wealth. How did your upbringing shape the way that you think about money and risk? That's a great question. My upbringing was based on a set of values. My mother had an expression, you know, you do the right things for the right reasons and live with the consequences. At 36 years old, you were fired from your job. Right. Did you have people that doubted you or thought you were crazy when you started Home Depot? Absolutely. The first couple of years, people coming to our stores, you know, they say, these guys are nuts. They're crazy. Just ignore these guys. They're going to go broke. The volumes that we were doing were unbelievable. And that was all as a response of listening to what customers and the customer is always going to be right. The customer always comes first? The customer always comes first. I used to say at Home Depot, our ultimate sign of success is when our customers, they were so loyal, they would feel like they were disloyal or shopping someplace else. So you wanted your customers to become raving fans of your business? Absolutely. And I would say that to all of your listeners. You're 83 years old today. Right. If me and you died tomorrow and you had one more message to leave with the younger generation, what would that be? When you're talking about human relationships, you know, the reason I'm doing this interview is because I watched some of your other ones, which are great, but you develop a trust relationship with who you're talking to. You know, all these businesses, I think it's so critical that you develop trust, because once you have that trust level established, people will open up their hearts and their minds and eventually their wallets to you. Thank you so much for your time. Thank you. Do you have amazing advice to give back? Take care of yourself. I connect with all the millionaires and billionaires that interview. Could I get your contact? Yeah.",66,0.58,medium close-up,That was my company.,"Stadium field, interview location",Older gentleman with gray/white hair wearing a bright blue blazer over a striped dress shirt,medium close-up,I used to say at Home Depot...,medium close-up,Thank you so much for your time.,0,medium,medium
8,Rich Brit,https://www.instagram.com/reel/DWzHyeGghLh/,DWzHyeGghLh,119.7,"Excuse me, sir. Sir, how did you get rich? How did you get rich?",Could I get your contact? Yeah.,"Excuse me, sir. Sir, how did you get rich? How did you get rich? Have you ever... How did you get rich? Have you ever had to call a plumber? A plumber? Yes. I owned one of the biggest plumbing companies in the world. So how much money did you make with the plumbing company? What was the most amount of money you made in a single year? When I sold the company for £4.1 billion. Not dollars. Pounds, proper money. Can I interview for a minute real quick? I go all over the world interviewing billionaires to help the younger generation. Uh, yeah. Where are you from? The north of England. But the big thing was I conquered America. So you brought your company global? Yeah, the mentor that I found, he told me two things. Number one, don't be in Miami because you'll hire people that want to go to the beach at 4pm or smoke dope. Second question he asked me is, so who have you got running your business over here? Said, oh, a fantastic guy, but he's a Brit. Shuck his head and said, absolutely not. Americans buy from Americans. You need to hire an American. This is fascinating to me because we're talking about plumbing. This isn't a necessarily sexy business. Talk to that young person out there that thinks that they have to go invent the next Google. Yeah, you don't. You need to be a hedgehog. Entrepreneurs like me, we're all foxes. We're always looking for the next opportunity. We have an idea every day and we need to be hedgehogs. That's how you become very wealthy. So how does someone make a billion dollars? There are nine steps. Tell me right now, man. How does somebody make a billion dollars? Number one is copy and pivot. Second, get an investor to help your business to scale. Thirdly, get a coach and a mentor. Number four, have an omnichannel model. Number five, hire your replacement. You know they don't teach us in school, right? I wish they did. Step six, go global with locals. Step number seven, evolution, not revolution. Number eight, how many people, if we ask them round here, have you got a to-do list? Everybody would put up the hand. If you say, have you got a not to-do list, nobody puts up the hand. A not to-do list is more important than a to-do list. The final step to make a billion pounds or dollars hone your character. When you've got a life's dream, you've got to make it happen. You have amazing advice, sir. Thank you. I connect with all the billionaires I interview. Could I get your contact? Yeah.",58,0.48,medium close-up,Have you ever had to call a plumber?,"Paris street, urban sidewalk","Middle-aged man wearing dark navy blazer, light blue dress shirt, brown-tinted glasses, reddish-brown hair with beard",medium,There are nine steps.,medium close-up,You've got to make it happen.,0,medium,high
9,Random,https://www.instagram.com/reel/DWhCkRlAnE-/,DWhCkRlAnE-,100.1,"Excuse me, sir? Sir? I have a question for you. How did you get rich, sir?",You'll get rich.,"Excuse me, sir? Sir? I have a question for you. How did you get rich, sir? I grew a channel to 20 million followers in the United States. Can I be told? Yes, sir. Okay. My one piece of advice is this. You don't get rich by working for someone else. You don't get rich by being paid a salary. You don't get rich by starting your own business. You slave your guts out night and day meeting cash flow crises. You get rich by selling your business. So my advice to someone who wants to get rich, start a business. Build it up for a couple of years and then sell it. What type of company did you sell? Real quick, sir. Are you happy with what I said? It's a great answer, but sir, I promise you, it's not enough for a clip. No more. Sir, you're not going to get more out there. You founded the Adam Smith Institute. He rejected us yesterday, but look who we just saw. How are you doing, sir? I now know who you are. I looked you up. How are you today? I'm in my 86th year. You're 86 years old? I will be this year here. Is it better to be a business owner or an investor in today's world? Oh, it's better to be a business man. Why? Investors, you take your chances. As a business man, you're dependent on your own abilities, your own skills, your own expertise. Yesterday, you told me that the way to get rich in today's world is to sell a company. What do people need to understand when they want to build a company to sell it? Join a firm, learn the trade, and then with a colleague or two, set up your own version, build it up over a few years, I mean two or three years, and then you sell it for a multiple of them and you become rich. I bet you've read a lot of books before. What's the number one book anybody needs to read before they die? Before they get rich, they need to read Adam Smith's Wealth of Nations. You're 86 today. Do you have any regrets? Oh, everyone has regrets, of course. Regrets? So I've had a few, but then again, too few to mention. Hey, that's a freak spot right there. If me and you died tomorrow and you had one more message to leave with the younger generation, what would that be? My motto, in Latin, pod tango, muto. In English it means that which I touch, I change. If you can change the world, change the lives of other people for the better. You'll get rich.",70,0.7,medium,I grew a channel to...,"Urban street, storefront building",Main subject wears a black hoodie with short dark hair styled up; secondary subject wears a white dress shirt with blue tie and has lighter colored hair.,medium close-up,What do people need to understand,medium close-up,That which I touch...,1,medium,low
10,Tim Tebow,https://www.instagram.com/reel/DV6a5HdjaOb/,DV6a5HdjaOb,119.4,"Excuse me sir, how old were you when you became a millionaire?","Could I get your contact? Yeah, of course. God bless you, dude.","Excuse me sir, how old were you when you became a millionaire? Probably around 22. So you made it young. I was very fortunate and blessed. It won a lot of business for you it man, how did you get rich that early? I was fortunate to be a quarterback in the NFL. So what's your name? My name's Tim Tebow. Man I go all over the world interviewing millionaires and billionaires to help the younger generation. Can I get a minute with you for the channel? Yeah of course. What was the most amount of money that you made in a single year? Somewhere between like 5 and 10 million or something I can't even remember, yeah. What is the greatest piece of advice that you've received throughout your career? The greatest form of tragedy is being successful at everything that doesn't matter. But we can take that success and we can use it for things that really matter. Now for the people watching, a lot of them know you as an NFL player, but after your career you're doing something right now that nobody else is doing. What are you doing right now? We're trying to fight back against the greatest evils in the world and that is human trafficking, child exploitation, and child sacrifice. How crazy is that for people that don't understand the magnitude? Today there's 50 plus million people that are being trafficked right now. People have no idea. We have no idea. We're truly so many times we really do have no idea, but we have to be able to spread that awareness and it's taking place in every community in our country. Do you believe in God? I do. Who is your God? My God is the God of the Bible, God the Father, God the Son, and God the Holy Spirit. So you believe in Jesus? I do. You're not afraid to say that either? No I'm not. And I think when you look at Christianity, what is so different than so many of the religions around the world? It's grace. Religion is man working their way to God, but Christianity is God coming down to us. And sometimes it's like, wait a second, he loves me so much that he's been pursuing me. That's what the God of the Bible does for us. Tim, how do you know? 38. If me and you die tomorrow and you had one more message to me with the younger generation, what would that be? And I would pray that you would use your life for something that really matters because when our life is over, are we going to be more focused about the inheritance or the legacy we left? Because inheritance is what you leave for someone, but I believe legacy is what you leave in someone. Tim, I'm proud of you man. Thank you man. I'm grateful that God uses screw-ups and so I'm not disqualified. I connect with everyone I interview. Could I get your contact? Yeah, of course. God bless you, dude.",56,0.47,medium close-up,,outdoor street storefront,"Man with short styled hair and beard wearing black t-shirt with white graphic design, holding a small microphone.",medium close-up,You're not afraid to say that either?,medium close-up,Grateful that God uses screw ups...,0,high,high
