# Backup of the Reference Video URL column before embedding clips into Notion pages
# row	notion_page	higgsfield_cdn_url
1	3b2e3017e9378177b8b5d681ab16eff2	https://d8j0ntlcm91z4.cloudfront.net/user_38Aq5hBlUQaXmBYdbqh89maFhJA/hf_20260806_161251_9bb751cc-6c95-4b5b-9e30-c24407070d58.mp4
2	3b2e3017e93781bb9b3cfe861d8a2911	https://d8j0ntlcm91z4.cloudfront.net/user_38Aq5hBlUQaXmBYdbqh89maFhJA/hf_20260806_162350_ee6cf2c7-42f4-468f-91bf-078ae8f26a5f.mp4
3	3b2e3017e937811db461cf80cab7ff71	https://d8j0ntlcm91z4.cloudfront.net/user_38Aq5hBlUQaXmBYdbqh89maFhJA/hf_20260806_162353_f01abfb3-6474-4306-83a5-81f17f6b3861.mp4
4	3b2e3017e93781c0aad1cb63a4da06b3	https://d8j0ntlcm91z4.cloudfront.net/user_38Aq5hBlUQaXmBYdbqh89maFhJA/hf_20260806_173748_f6192e80-cdef-465a-a324-aae82e66b553.mp4
5	3b2e3017e937812b896ada0562d84800	https://d8j0ntlcm91z4.cloudfront.net/user_38Aq5hBlUQaXmBYdbqh89maFhJA/hf_20260806_162356_2ec83ed2-6a88-4277-beb1-0d8020e2d919.mp4
6	3b2e3017e937813288f3e0422451c86b	https://d8j0ntlcm91z4.cloudfront.net/user_38Aq5hBlUQaXmBYdbqh89maFhJA/hf_20260806_162402_8020f096-7f65-4434-8fa6-584f8c3e561c.mp4
7	3b2e3017e937812c90abd7c618c332de	https://d8j0ntlcm91z4.cloudfront.net/user_38Aq5hBlUQaXmBYdbqh89maFhJA/hf_20260806_173750_f0226c13-9b95-40f0-a2ac-132f56ee3cdb.mp4
8	3b2e3017e93781579ca4f7c97ac6289b	https://d8j0ntlcm91z4.cloudfront.net/user_38Aq5hBlUQaXmBYdbqh89maFhJA/hf_20260806_173753_1b72736c-57e5-4830-8cef-afedc38a6b3b.mp4
9	3b2e3017e937815586b0e351bc41b193	https://d8j0ntlcm91z4.cloudfront.net/user_38Aq5hBlUQaXmBYdbqh89maFhJA/hf_20260806_162407_366025a0-db11-4751-b661-e6b4cd920a65.mp4
10	3b3e3017e93780898d23c32c6e29716f	https://d8j0ntlcm91z4.cloudfront.net/user_38Aq5hBlUQaXmBYdbqh89maFhJA/hf_20260806_173756_15629f98-3e9f-4dc0-98c7-e20efa6cffd8.mp4
12	3b2e3017e93781b4afc9e72fbcd241fc	https://d8j0ntlcm91z4.cloudfront.net/user_38Aq5hBlUQaXmBYdbqh89maFhJA/hf_20260806_162412_5136886f-c76b-4bc1-8b15-51458f369125.mp4
13	3b2e3017e9378160a3c4e862b53cd81c	https://d8j0ntlcm91z4.cloudfront.net/user_38Aq5hBlUQaXmBYdbqh89maFhJA/hf_20260806_173800_1e220c38-0ba9-4c6b-aa08-997676d796a8.mp4
15	3b2e3017e93781c5b34bc101568acd7b	https://d8j0ntlcm91z4.cloudfront.net/user_38Aq5hBlUQaXmBYdbqh89maFhJA/hf_20260806_162552_b1ecea4f-2dfd-4330-8341-aeb2aed1673c.mp4
